FAILED (HTTP): B29B-Fund-Raising-2020-AG_B29B-2020-fund-raising-ag.pdf | URL: https://docs.eclegislature.gov.za/documents/section76_bills/B29B-Fund-Raising-2020-AG_B29B-2020-fund-raising-ag.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/B29B-Fund-Raising-2020-AG_B29B-2020-fund-raising-ag.pdf
FAILED (HTTP): XHSA_-_FUND-RAISING_AMENDMENT_BILL_aug2023.pdf | URL: https://docs.eclegislature.gov.za/documents/section76_bills/XHSA - FUND-RAISING AMENDMENT BILL aug2023.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/XHSA%20-%20FUND-RAISING%20AMENDMENT%20BILL%20aug2023.pdf
FAILED (HTTP): Opsomming_van_WWO_op_Fondsinsameling_vertaal_25_April_2023.pdf | URL: https://docs.eclegislature.gov.za/documents/section76_bills/Opsomming van WWO op Fondsinsameling vertaal 25 April 2023.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/Opsomming%20van%20WWO%20op%20Fondsinsameling%20vertaal%2025%20April%202023.pdf
FAILED (HTTP): SESOTHO_-_SUMMARY-_FUND_RAISING_AMENDMENT_BILL_24_April_2023.pdf | URL: https://docs.eclegislature.gov.za/documents/section76_bills/SESOTHO - SUMMARY- FUND_RAISING AMENDMENT BILL 24 April 2023.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/SESOTHO%20-%20SUMMARY-%20FUND_RAISING%20AMENDMENT%20BILL%2024%20April%202023.pdf
FAILED (HTTP): SUMMARY_OF_THE_FUND_RAISING_AMENDMENT_BILL.pdf | URL: https://docs.eclegislature.gov.za/documents/section76_bills/SUMMARY OF THE FUND_RAISING AMENDMENT BILL.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/SUMMARY%20OF%20THE%20FUND_RAISING%20AMENDMENT%20BILL.pdf
FAILED (HTTP): SPEAKERS_LIST_20_JUNE_2023_CONSIDERATION_OF_APPROPRIATION_BILL_REPRINT.pdf | URL: https://docs.eclegislature.gov.za/documents/speakers_list/SPEAKERS_LIST_20_JUNE_2023_CONSIDERATION_OF_APPROPRIATION_BILL_REPRINT.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/speakers_list/SPEAKERS_LIST_20_JUNE_2023_CONSIDERATION_OF_APPROPRIATION_BILL_REPRINT.pdf
FAILED (HTTP): SOPA_2023_7J4A7625.jpg | URL: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7625.jpg | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7625.jpg
FAILED (HTTP): SOPA_2023_7J4A7523.jpg | URL: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7523.jpg | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7523.jpg
FAILED (HTTP): SOPA_2023_7J4A7541.jpg | URL: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7541.jpg | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7541.jpg
FAILED (HTTP): SOPA_2023_7J4A7540.jpg | URL: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7540.jpg | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/gallery/SOPA_2023_7J4A7540.jpg
